algo,seed,dim,lr,bitrate,rnn_no_crf_ner,compress_type,space,la_sst_no_emb_norm,la_mr_no_emb_norm,la_subj_no_emb_norm,la_mpqa_no_emb_norm,rnn_no_crf_ner_quality,la_sst_quality_no_emb_norm,la_mr_quality_no_emb_norm,la_subj_quality_no_emb_norm,la_mpqa_quality_no_emb_norm,anchor_eigen_overlap_3.0_top_10000,knn_top_10000_nquery_1000_nn_5,sem_disp_top_10000,pip_top_10000,eigen_overlap_top_10000
glove,1234,25,0.01,1,12.6232741617357,uniform,25,12.355848434925864,13.4020618556701,11.2,12.158341187558907,69.73,64.2504,66.2605,82.3,70.40530000000001,0.020499038669781446,0.17799999999999974,0.12288868977415282,7997.108239856776,0.6806824375302328
glove,1235,25,0.01,1,12.956114398422091,uniform,25,17.408017572762212,17.338331771321457,9.199999999999998,10.55607917059378,70.04,61.285000000000004,66.0731,84.5,70.40530000000001,0.022990461214200716,0.1608000000000001,0.13587501187258086,8175.8244284012935,0.6467540976503762
glove,1236,25,0.01,1,12.46301775147929,uniform,25,19.165293794618343,18.74414245548266,9.499999999999996,13.383600377002825,70.27,61.7243,64.0112,83.89999999999999,72.00750000000001,0.03142924034639446,0.16180000000000022,0.14520877510482866,8592.512790120329,0.6357550091698306
glove,1234,25,0.01,2,9.701676528599606,uniform,50,11.587040087863809,13.120899718837864,6.2000000000000055,8.38831291234684,77.08,62.0538,64.0112,85.9,77.0028,0.00910074199181197,0.37119999999999875,0.061418998358420664,13269.018439603627,0.7831680033422509
glove,1235,25,0.01,2,9.763313609467456,uniform,50,11.367380560131801,15.089034676663537,5.700000000000005,11.687087653157402,77.71000000000001,58.81380000000001,65.6045,85.6,73.4213,0.009768044187258657,0.3575999999999977,0.0703722710398632,13629.123179697312,0.7502243674864197
glove,1236,25,0.01,2,9.529092702169626,uniform,50,16.47446457990115,17.619493908153704,7.099999999999995,11.49858623939679,77.29,65.6782,65.32329999999999,85.9,74.45809999999999,0.013597706247547647,0.3609999999999986,0.07563312807098872,14230.177349503534,0.7430927576343838
glove,1234,25,0.01,4,6.1267258382643,uniform,100,9.77484898407468,12.93345829428304,4.600000000000004,8.294062205466545,80.84,64.4152,65.6045,85.7,77.56830000000001,0.0026112362033350166,0.6684000000000008,0.026354080197331358,12780.712567373794,0.8602086435140167
glove,1235,25,0.01,4,7.458086785009862,uniform,100,6.919275123558489,13.027179006560452,3.9000000000000035,10.461828463713474,81.04,57.0566,65.5108,86.2,77.3798,0.0027125872121310465,0.6586000000000023,0.03255800270294436,13067.362108021009,0.8338011216720312
glove,1236,25,0.01,4,6.52120315581854,uniform,100,13.728720483250957,13.120899718837864,4.300000000000004,8.19981149858624,79.86,66.6118,64.761,85.7,75.9661,0.0037018912176710527,0.6398000000000013,0.034725392631330725,13645.98818481032,0.8303145749367399
glove,1234,25,0.01,8,5.226824457593689,uniform,200,9.555189456342672,14.245548266166818,5.100000000000005,8.19981149858624,81.17999999999999,64.4152,64.8547,85.7,77.2856,0.0010960411078057453,0.7749999999999967,0.020579640622149908,11666.512973695424,0.872232543728577
glove,1235,25,0.01,8,6.43491124260355,uniform,200,6.370126304228441,11.62136832239925,3.600000000000003,11.404335532516496,80.49,56.013200000000005,65.32329999999999,85.7,77.56830000000001,0.0011499108157726457,0.7613999999999976,0.026251627378097293,12054.616697426214,0.8539010296817855
glove,1236,25,0.01,8,6.29930966469428,uniform,200,13.783635365183965,14.526710402999065,3.9000000000000035,9.519321394910463,79.55,65.84289999999999,63.1678,86.4,76.6258,0.00108813662702744,0.7577999999999975,0.027279100074378237,12265.54874965446,0.8522328347564054
glove,1234,25,0.01,16,4.9432938856015785,uniform,400,9.9395936298737,12.558575445173382,4.5000000000000036,8.105560791705935,80.80000000000001,64.525,65.1359,85.7,77.6626,0.0010574290191212963,0.7797999999999975,0.020562842826310216,11697.018411735275,0.8725235889553739
glove,1235,25,0.01,16,6.397928994082839,uniform,400,6.754530477759468,11.52764761012184,3.400000000000003,11.687087653157402,80.74,55.9033,65.5108,85.6,77.8511,0.0011289340512909336,0.7605999999999974,0.02619221505772384,12094.24853770355,0.8539023676263497
glove,1236,25,0.01,16,6.02810650887574,uniform,400,13.12465678198792,14.432989690721653,3.600000000000003,9.236569274269558,79.45,66.06259999999999,63.3552,86.3,76.4373,0.001051618032983929,0.7605999999999979,0.02719346668505262,12255.059498262468,0.8524702832007924
glove,1234,25,0.01,32,5.263806706114398,uniform,800,9.9395936298737,12.558575445173382,4.5000000000000036,8.105560791705935,80.97999999999999,64.525,65.1359,85.7,77.6626,0.0010574391126660823,0.7797999999999975,0.020562863862992924,11697.034728837572,0.8725237686780326
glove,1235,25,0.01,32,6.841715976331361,uniform,800,6.754530477759468,11.52764761012184,3.400000000000003,11.781338360037697,81.03,55.9033,65.5108,85.6,77.7568,0.0011289374600654625,0.7605999999999974,0.02619219371485139,12094.263674183847,0.8539025008976434
glove,1236,25,0.01,32,6.23767258382643,uniform,800,13.12465678198792,14.432989690721653,3.600000000000003,9.236569274269558,79.3,66.06259999999999,63.3552,86.3,76.4373,0.0010516016487362864,0.7605999999999979,0.027193518148206676,12255.04133538931,0.8524702864901479
glove,1234,50,0.01,1,9.849605522682445,uniform,50,16.968698517298186,16.213683223992504,8.599999999999996,11.875589066918002,78.93,66.3921,67.1978,85.0,75.6833,0.020701674782197692,0.251599999999999,0.1579311829701505,7558.876035052756,0.5964728747208285
glove,1235,50,0.01,1,9.972879684418146,uniform,50,14.82701812191104,15.089034676663537,8.299999999999997,11.027332704995285,80.04,63.48160000000001,66.448,85.7,76.7201,0.02024610760128181,0.270199999999999,0.14934152864615502,7287.249256674492,0.6073257149140934
glove,1236,50,0.01,1,10.009861932938856,uniform,50,16.144975288303133,14.807872539831301,6.899999999999995,13.760603204524035,80.47,66.33720000000001,65.6982,86.3,75.87180000000001,0.022483340390024035,0.26279999999999903,0.1674187228152343,7724.753687480095,0.582077291574434
glove,1234,50,0.01,2,6.41025641025641,uniform,100,13.34431630971994,11.433926897844426,5.600000000000005,9.142318567389252,82.46,67.8199,68.4161,87.5,79.0763,0.008878669373879393,0.49820000000000036,0.08179758973466503,13076.335610610837,0.7144696889279145
glove,1235,50,0.01,2,6.10207100591716,uniform,100,8.896210873146625,11.52764761012184,7.099999999999995,9.236569274269558,82.99,62.0538,69.8219,86.5,80.3959,0.007986647526621992,0.5060000000000001,0.07688901046388516,12852.276448684288,0.7210350088926605
glove,1236,50,0.01,2,6.41025641025641,uniform,100,14.113124656781984,11.433926897844426,4.400000000000004,7.728557964184734,82.89999999999999,68.6985,68.3224,87.2,78.7936,0.008910305060302506,0.5099999999999998,0.08772262525482588,13281.625982257114,0.699891816414748
glove,1234,50,0.01,4,4.6351084812623276,uniform,200,9.77484898407468,16.869728209934397,4.300000000000004,6.314797360980206,84.27,66.33720000000001,67.85379999999999,87.5,82.2809,0.0022234561359496395,0.7389999999999987,0.03871478351742734,12936.678282938015,0.8085728257263648
glove,1235,50,0.01,4,4.474852071005917,uniform,200,9.006040637012635,9.934395501405813,3.9000000000000035,5.466540999057489,83.5,61.5047,69.07220000000001,87.9,81.80959999999999,0.0019090612699009858,0.7571999999999982,0.035108022260195576,12673.10842542249,0.8162232640311938
glove,1236,50,0.01,4,4.672090729783037,uniform,200,9.006040637012635,8.52858481724461,4.300000000000004,5.08953817153629,84.45,71.27950000000001,68.135,88.2,81.80959999999999,0.0022312139897817163,0.7347999999999992,0.041533879273815626,13273.424922345956,0.7983455884556573
glove,1234,50,0.01,8,4.930966469428008,uniform,400,9.060955518945635,13.495782567947511,4.400000000000004,5.183788878416584,83.67999999999999,67.106,68.6036,87.7,82.1866,0.0007676163047783629,0.818199999999996,0.03169064216700787,12205.064115789583,0.8303337043191799
glove,1235,50,0.01,8,4.696745562130177,uniform,400,8.23723228995058,9.653233364573566,4.5000000000000036,4.052780395852973,83.94,63.1521,69.44699999999999,87.7,82.7521,0.000817020254950934,0.8287999999999964,0.02846507720101303,11929.026549972137,0.8409486886302048
glove,1236,50,0.01,8,4.795364891518738,uniform,400,9.82976386600769,8.434864104967199,3.8000000000000034,5.466540999057489,84.17999999999999,71.2246,69.16590000000001,88.6,81.3384,0.000765960165556814,0.8107999999999959,0.034109252726289695,12560.261146449398,0.8235130091378912
glove,1234,50,0.01,16,4.548816568047338,uniform,800,9.335529928610653,13.308341143392688,4.300000000000004,5.08953817153629,83.69,67.2158,69.07220000000001,87.8,81.9039,0.0007402545127535923,0.8187999999999963,0.031601752282164,12201.264871915693,0.830484489536343
glove,1235,50,0.01,16,5.202169625246548,uniform,800,9.006040637012635,9.37207122774133,4.5000000000000036,3.9585296889726673,83.32000000000001,63.1521,69.5408,87.7,82.3751,0.0008002206719859222,0.8347999999999959,0.02841135810103591,11942.730126994458,0.8412565609202352
glove,1236,50,0.01,16,4.918639053254438,uniform,800,9.500274574409662,9.090909090909093,3.7000000000000033,5.08953817153629,83.67,71.0599,69.2596,88.7,81.3384,0.0007456076952542599,0.8103999999999961,0.034034220478139136,12572.22668263885,0.824015181524001
glove,1234,50,0.01,32,4.326923076923077,uniform,1600,9.335529928610653,13.308341143392688,4.300000000000004,5.08953817153629,83.52000000000001,67.2158,69.07220000000001,87.8,81.9039,0.0007402532438889794,0.8185999999999963,0.0316017549151544,12201.272227797732,0.8304843953712729
glove,1235,50,0.01,32,4.142011834319527,uniform,1600,9.006040637012635,9.37207122774133,4.5000000000000036,3.9585296889726673,84.46000000000001,63.1521,69.5408,87.7,82.3751,0.0008002412932796398,0.8347999999999959,0.02841135360037513,11942.762148880254,0.8412562997853327
glove,1236,50,0.01,32,4.696745562130177,uniform,1600,9.500274574409662,9.090909090909093,3.7000000000000033,5.08953817153629,83.77,71.0599,69.2596,88.7,81.3384,0.0007455896489182152,0.8103999999999961,0.03403422698789013,12572.2325295679,0.8240151578263538
glove,1234,100,0.01,1,7.038954635108481,uniform,100,15.266337177375068,13.776944704779758,7.399999999999995,10.74458058435438,83.21,69.4673,68.2287,88.1,80.86710000000001,0.016145265017739597,0.37759999999999827,0.1711634938588249,6342.58924440647,0.5702366474099854
glove,1235,100,0.01,1,7.2485207100591715,uniform,100,13.28940142778693,13.214620431115275,6.999999999999995,9.707822808671063,83.16,65.89789999999999,68.6036,87.6,80.5844,0.01599593317570851,0.37379999999999813,0.17961164678292665,6408.534113736655,0.5511568757198071
glove,1236,100,0.01,1,7.519723865877712,uniform,100,14.277869302581003,15.65135895032802,7.099999999999995,8.38831291234684,82.76,69.687,66.91659999999999,87.6,80.7729,0.015225995956719068,0.383399999999998,0.17321582295473853,6397.608406551638,0.5709748356846219
glove,1234,100,0.01,2,5.066568047337278,uniform,200,11.202635914332781,10.965323336457356,5.600000000000005,7.634307257304429,85.42,71.4992,70.7591,88.0,83.1291,0.006315387228616462,0.6180000000000007,0.08858784891390437,11420.033341777602,0.689036340945661
glove,1235,100,0.01,2,5.066568047337278,uniform,200,10.873146622734764,12.746016869728205,4.600000000000004,9.236569274269558,84.97,66.0077,70.57169999999999,89.1,83.8831,0.006225470200393472,0.6188000000000016,0.09294032643579367,11684.728015081313,0.6758814693518819
glove,1236,100,0.01,2,5.3870808678500985,uniform,200,10.543657331136735,12.746016869728205,4.5000000000000036,6.880301602262017,85.61999999999999,73.6958,71.0403,89.5,83.0349,0.006364729741620666,0.6206000000000012,0.08934712926847652,11466.029519933916,0.6892862589779963
glove,1234,100,0.01,4,4.006410256410256,uniform,400,10.543657331136735,10.028116213683225,3.9000000000000035,3.8642789820923618,86.14,73.3663,69.8219,89.60000000000001,83.6946,0.001525000434742413,0.792799999999997,0.04344992923194998,11922.914486893193,0.7797101301596138
glove,1235,100,0.01,4,4.166666666666666,uniform,400,8.951125755079625,9.934395501405813,4.0000000000000036,3.581526861451456,85.53,72.6524,72.1649,89.60000000000001,84.5429,0.00155904050704184,0.793599999999997,0.04687172091721005,12343.451061395312,0.7690637181518736
glove,1236,100,0.01,4,4.092702169625246,uniform,400,11.257550796265791,10.965323336457356,3.0000000000000027,3.9585296889726673,85.72999999999999,75.0137,72.5398,89.0,83.0349,0.0016515151166927907,0.798599999999997,0.043356455187436305,12006.346244416049,0.7784642580502141
glove,1234,100,0.01,8,3.895463510848126,uniform,800,8.896210873146625,8.716026241799435,2.9000000000000026,4.429783223374173,86.32,73.0917,70.7591,90.0,84.0716,0.0006338500386841089,0.851399999999995,0.03607023692296273,11548.84047464009,0.8009983506974728
glove,1235,100,0.01,8,4.142011834319527,uniform,800,8.676551345414607,8.716026241799435,3.8000000000000034,4.806786050895385,85.76,74.19,70.7591,89.3,83.6004,0.0006203660615010753,0.8439999999999956,0.03969242102231038,11975.622701298418,0.7919750986023508
glove,1236,100,0.01,8,3.895463510848126,uniform,800,8.34706205381659,10.590440487347708,2.200000000000002,3.2987747408105506,86.16,75.3432,72.4461,89.5,83.7889,0.0006397071718720782,0.8513999999999955,0.03591180918629341,11597.194480308717,0.8000353979591108
glove,1234,100,0.01,16,4.191321499013807,uniform,1600,9.88467874794069,8.622305529522023,2.7000000000000024,2.9217719132893505,86.19,73.20150000000001,70.3843,89.7,84.2601,0.000618794712966372,0.8517999999999952,0.035983835319963416,11563.465023638377,0.8014093784327865
glove,1235,100,0.01,16,3.9817554240631168,uniform,1600,8.34706205381659,8.809746954076846,3.9000000000000035,4.429783223374173,85.77,74.19,71.0403,89.4,83.6946,0.0006026322220350873,0.8425999999999958,0.039601648674088885,11977.934702713255,0.7922353017383709
glove,1236,100,0.01,16,4.339250493096647,uniform,1600,8.29214717188358,10.028116213683225,2.7000000000000024,3.4872761545711617,85.95,75.2334,72.1649,89.1,83.9774,0.0006113888085608572,0.8513999999999955,0.035806099747434796,11597.749001159315,0.8005755506251107
glove,1234,100,0.01,32,4.437869822485207,uniform,3200,9.88467874794069,8.622305529522023,2.7000000000000024,2.9217719132893505,86.16,73.20150000000001,70.3843,89.7,84.2601,0.0006187884012225067,0.8515999999999951,0.03598385706937547,11563.47200172324,0.8014092912784441
glove,1235,100,0.01,32,3.9940828402366866,uniform,3200,8.34706205381659,8.809746954076846,4.0000000000000036,4.429783223374173,85.48,74.19,71.0403,89.4,83.6946,0.0006026404966300188,0.8425999999999958,0.03960164930096704,11977.945879865438,0.7922350964879855
